,tag,text
23,2,"@anonymized_account A kiedy przestanie wydawać mln na swoich ochroniarzy, tylko zacznie leczyć u psychiatry swoją manię prześladowczą?"
24,2,"@anonymized_account Pierwszy priorytet zadowolić Jarkacza, drugi priorytet ssać kasę wszystkimi otworami,  mają rozdwojenie jaźni"
25,2,@anonymized_account Huj z wami dziennikarzami. Piłka nożna dla kibiców a nie pseudo dziennikarzy.
26,2,"@anonymized_account @anonymized_account Święta racja, ale zapytaj Jurgiela o notatki, on wie co spierdolił. Będzie łatwiej."
27,2,@anonymized_account raczej ty się powinieneś jebnąć ale nie wiem czy to pomoże
28,2,"@anonymized_account Jak narazie to sobie możecie kupę zrobić. Albo hurtowo dać dupy pedofilów w sutannach, których publicznie bronicie."
29,1,@anonymized_account @anonymized_account A ty wieś kretynie CONTI jest Acta2 i czego dotyczy? Najpierw przeczytaj a potem się wypowiadaj.
30,2,"Nowe chodnikowe powiedzonko brzmi:\n\nPierdolisz jak Morawiecki, realy.\n\n@anonymized_account @anonymized_account \n\nHybryda głupoty."
31,1,"@anonymized_account @anonymized_account Ty pajacu, zmień sobie herb na pusty łeb."
32,1,"@anonymized_account @anonymized_account @anonymized_account Leszku mój kochany, masz mózg wyprany"
33,2,"@anonymized_account Co ty żresz, że ci tak pierdolnęło?"
34,2,"Wassermannówna kłamie, mówiąc, że „przyszła do polityki”. Ona przyjechała na trumnie ojca."
35,2,jak Patryk Jaki wygra wybory w Warszawie oczyści stolicę z byłych UBECKICH funkcjonariuszy ! #woronicza17
36,2,"@anonymized_account Jaki hejt.Hejt to jest na Tuska, Komorowskiego, przecież to nie Polacy, śmierć wrogom ojczyzny. Obudź się"
37,1,@anonymized_account @anonymized_account Bo sama jest niepełnosprawna... Umysłowo.😁😁
38,2,"@anonymized_account @anonymized_account Mam rozumieć, że to mapa nasycenia krajów zboczeńcami w sutannach."
39,2,@anonymized_account @anonymized_account Polskę to kompromitują tacy jak ty. Oszołomie.
40,2,@anonymized_account 😁😁😁😁😁😁😁😁 @anonymized_account teraz to mnie Pani ubawiła tym paskiem. A widziała Pani swoją szyję?
41,2,"@anonymized_account @anonymized_account @anonymized_account Ty się chyba debilu nie słyszysz, ty tekstów to się po nocach uczysz czy masz słuchawkę w uchu?"
42,2,@anonymized_account @anonymized_account Plujecie na Polskę to my będziemy pluć na was.
43,1,"@anonymized_account Cie zaraz piznę, jak nie zaczniesz myśleć"
44,2,@anonymized_account @anonymized_account Ty kurwa @anonymized_account nie pierdol w tv bo sie żygać chce
45,2,"@anonymized_account A pisdzielstwo, szczury, gady, plazy popromienne, azbestowe?"
46,2,@anonymized_account do domu bo ci rózga dupę @anonymized_account ty mały  @anonymized_account
47,2,"Teraz zarykam nos i mowie \""cała polska z was sie śmieje, komuniści i zlodzieje,"
48,2,@anonymized_account Plakat widzę tak @anonymized_account z  @anonymized_account wymiana spojrzeń  a @anonymized_account na kolanach liże ich po stopach
49,2,"@anonymized_account Pana zdanie nie interesuje Polaków ❗\nWypchaj się Pan niemiecką, śmierdzącą onucą ❗"
50,2,@anonymized_account Sługo komuny ile jeszcze jadu z Twego pyska się wyleje?
51,2,@anonymized_account @anonymized_account Oj GW i N cudowna...wy to macie pojebane w tych glówkach
52,2,@anonymized_account A chętnie przeczytam co tam za głupoty pierdoli :)
53,1,@anonymized_account Chuju będziesz za to odpowiedzialny
54,1,"@anonymized_account @anonymized_account Ty tępa kobieto, uważaj na ilość kislu."
55,1,"@anonymized_account @anonymized_account @anonymized_account Pis mial być inny, jesteś idiotą"
56,1,"@anonymized_account Widze, że nawet murzyni są w fanclubie :)"
57,2,"@anonymized_account @anonymized_account Ten znowu o majątku Premiera, lepiej napisz, ile w TVP zarobiłeś i gdzie się kasa z OFE POdziała, Lis(?)"
58,2,@anonymized_account @anonymized_account A gówno mnie obchodzi na co zgadza się kościół. Won do Watykanu.
59,2,@anonymized_account Pan @anonymized_account chyba chory z urojenia😁😁😁
60,2,@anonymized_account @anonymized_account @anonymized_account Powinni cię jajami obrzucić gnoju
61,2,"@anonymized_account Pierdolisz tyle o ojczyźnie to ją szanuj, 1200 zł na m-c za taksówki to nie jest szacunek,"
62,1,Ten od kulek gejszy z bólem dupy @anonymized_account nie jest przypadkiem płynnybpłciowo?
63,1,"@anonymized_account Jak na wlasciciela, mi nigdy sam nie padł, pedancie"
64,1,"@anonymized_account @anonymized_account @anonymized_account Lichocka, Ty głupia i stara dupa jesteś. Nikt Cię nie słucha i nikomu nie chce się z Tobą gadać."
65,2,"Jakubiak w @anonymized_account  stwierdziła, że problemy PiSu są z powodu przesadzonej krytyki opozycji. Pierdolnięta."
66,2,@anonymized_account @anonymized_account @anonymized_account @anonymized_account I co że byli tumanie. Zrobili.sobie wyłącznie chwilowy lans.
67,2,@anonymized_account Gdzie jest Zalewska??? Przestępca i złodziej ministrem edukacji. To tylko w pislandii. Ale spoko. Duda w poniedziałek ułaskawi.
68,1,@anonymized_account Z sercem na jednej dłoni i kutasem w drugiej.
69,2,"@anonymized_account @anonymized_account @anonymized_account Okrzyki nie kibola tylko powiat, ruskich żydów, którzy sieją zament w naszej pięknej Polsce"
70,2,"@anonymized_account @anonymized_account Może kiedyś osiągnął, ale dzisiaj okazał się pospolitym sprzedajnym gnojem."
71,2,@anonymized_account @anonymized_account I np że może cię wyruchać w dupsko ktoś z Krakowa @anonymized_account
72,2,"Codziennie ludzie umieraja, dzieci na raka, w wypadkach, juz po chuj tej żaloby"
73,2,@anonymized_account @anonymized_account Każdy jeden klecha zrobi dla kasy wszystko i bez skrupułów.
74,2,"@anonymized_account @anonymized_account Ida do drzewa życia poznać prawdę, głupie cipy"
75,2,@anonymized_account Patrz  @anonymized_account twoja ekipa debili to robi
76,2,@anonymized_account A zapomniałam czerwonej zarazy nie wpuszczają
77,2,@anonymized_account @anonymized_account @anonymized_account A co za ludźmi bez studiów gnoju?
78,2,@anonymized_account Won z mojego Tarnowa pisowska złodziejska hołoto.
79,1,"@anonymized_account @anonymized_account @anonymized_account Przecież tam nie mieszkasz, pomieszkaj,  a będziesz mógł szczekać"
80,2,@anonymized_account A ja widzę taki tytuł: Brudziński narkomanem!! Chwalił się że gotuje kompot. Żądamy dymisji ministra narkomana!!!
81,2,@anonymized_account Potraficie spierdolić najprostszą sprawę. Jesteście palantami a nie opozycją. Won z Sejmu.
82,2,"@anonymized_account Niech spierdala. Przyszedł z PiSu i myślał że się na coś załapie, ale się nie udało"
83,2,@anonymized_account Tym niepełnosprawnym też pisowska gnido?
84,2,Taki kurwa zawsze wylewny a tu @anonymized_account twarz zjeba w lustrze i zapadła głucha cisza
85,2,@anonymized_account Urban powinien się od was uczyć. Jesteście żenujące gnojki. Aż przykro patrzeć.
86,2,@anonymized_account @anonymized_account Żaluzje sobie palancie koszulkę SS i.idz na marsz nazioli.
87,1,@anonymized_account Ty zjebie pierwszy się śmiejesz z wyglądu
88,2,@anonymized_account Polska pijana hołota jest wszędzie.
89,2,@anonymized_account @anonymized_account celny snajperski strzał w lewacką hołotę
90,2,"@anonymized_account @anonymized_account @anonymized_account To nie jest człowiek, to pisowskie bydle. Człowiek takich rzeczy nie mówi. @anonymized_account"
91,1,"@anonymized_account @anonymized_account @anonymized_account ale ty debil jesteś, a o Twoich lajkujących i dających RT nie wspomnę."
92,2,"@anonymized_account Ale żaden z nich nie przebiera się za chuja, żeby podkreślić swoją właściwą rolę"
93,1,@anonymized_account @anonymized_account @anonymized_account @anonymized_account smutne jest to że on wcale nie pił tylko po prostu jest imbecylem
94,1,"@anonymized_account a jak bedzie po hiszpansku \""pierdolony symulant\"" ?"
95,1,jest moc jak kurwy zabiorą mi Unię Europejską ja zabiorę im żony i dzieci
96,2,"@anonymized_account A  @anonymized_account sprzedaje biznes żeby rządzić, kurwa gość jest chory"
97,2,@anonymized_account @anonymized_account @anonymized_account Tego kretyna obserwuje 150 tyś
98,2,"I chuj mnie obchodzi, wypierdalać"
99,2,"Honor, godność, to jest obce dla pisdzielstwa miliardy kasy i dluga lata rządów a wy dalej gownem smierdzicie"
100,1,"Przestanę karmić tego @anonymized_account swoim fejmem, bo tylko puchnie  narodowym gównem, jak świnia która wszystko żre"
101,2,@anonymized_account @anonymized_account Wg pisowskiej sprawiedliwości. A kto wam.wierzy bando złodziei i oszustów
102,2,"@anonymized_account Polacy też wiedzą, że jednym z największych debili jest niejaki Ziemkiewicz."
103,1,"@anonymized_account @anonymized_account Jaka tv, tacy idole😁😁😁 A tak trochę poważniej, to za tę napaść na dziewczynkę to tylko w ten pedalski ryj."
104,2,@anonymized_account @anonymized_account Smaciarza a nie premiera. Zdradził Polskę z faszystami
105,1,@anonymized_account @anonymized_account Wiem że za pochlebstwo zrobisz wszystko
106,1,@anonymized_account @anonymized_account @anonymized_account Jakbym był Twoim odbiciem to bym już dawno skoczył z wysokiego mostu.
107,1,"@anonymized_account Może suko to komplement, gość jest gejem"
108,2,@anonymized_account @anonymized_account @anonymized_account Wypad z mojego miasta kłamco i oszuście.
109,2,@anonymized_account Przyjechałeś pajacu wyprowadzić kolejne miliony za granicę?
110,2,@anonymized_account Ta menda Rydzyk nie chcial z nim gadać postrzegam na wielki plus
111,2,"@anonymized_account @anonymized_account @anonymized_account Dzieci trzeba ostrzec, że przez niego Kościelisko pedofile wciąż mają się dobrze."
112,2,"@anonymized_account Bo to był taki zwykły, historyczny kutas a nie porządny prezes banku."
113,2,"@anonymized_account Wal się, mu chcemy do sejmu."
114,1,@anonymized_account Twoje to antysemickie i kurwa antypolskie
115,1,@anonymized_account On się nie czepi swojej baby tylko pójdzie do filharmonii podglądać krocze dyrygentki
116,2,"#słowoNaNiedzielę \nZaprawdę powiadam Wam,aby wykastrować księdza,trzeba ministranta w podbródek kopnąć.\nAmen."
117,2,"@anonymized_account @anonymized_account Ale ten gość wchodził jej w cyce i go popchnęła, a liścia ładnie przyjęła, także pisdzielstwo zawsze na dnie"
118,2,"@anonymized_account @anonymized_account A mnie wkurwia, że dają bogatym 300+, 500+, a dla nich nie ma mimo że kurwy pisowskiej im to obiecały"
119,1,"@anonymized_account Łatwo oceniać, świadczy o twoim niedojebaniu umysłowym, Kto mieczem wojuje, ten od pochwy ginie"
120,2,@anonymized_account Kiedy ten patologiczny kłamca skończy wreszcie opluwać Polaków i Polskę czy niema paragrafu na tę hienę?
121,2,"Kościół =kara jestem pogrzeb, albo wesele, cierpię strasznie, w nic nie wierzę co mówi kutas z ambony"
122,2,@anonymized_account Tobie muszą nieźle płacić za to gówno pomyj.Nikt normalny dzień w dzień by nie dał rady .
123,1,"@anonymized_account @anonymized_account Pojebało cię, normalna rodzina katolicka, pytam"
124,2,"Gen Jaruzelski jast taki świerzy, a Kaczyński taki śmierdzący"
125,1,"@anonymized_account Może go któryś przeruchal w dzieciństwie i mu się spodobało, to ich broni"
126,1,@anonymized_account @anonymized_account Tajna grupa na FB? Zmieńcie dealera albo przestańcie ćpać.
127,1,"@anonymized_account @anonymized_account Tobie matole nikt nie odpisze, bo nikt cię nie ogląda."
128,2,"@anonymized_account Ten płaczliwy histeryk, parodii prokuratora, rozemocjonowany idiota"
129,2,Ten zakompleksiony zamordysta w jednym z programów @anonymized_account ośmieszył tą dziennikarską hienę
130,1,@anonymized_account Czekamy na zdjęcia z mocy poślubnej. Jprdl!!😁😁😁😁😁
131,1,Podobno ślina Krystyny Pawłowicz ma być przechowywana w Światowym Banku Nasion w Svalbard.\nJak wzór genetyczny czystego chama.
132,1,@anonymized_account @anonymized_account @anonymized_account Do mojej matki i ojca to sie nawet nie zbliżaj pisowski pomiocie.
133,2,@anonymized_account @anonymized_account Proszę o dowody na wyprzedaż ziemi motoryczny kłamco.
134,2,@anonymized_account @anonymized_account @anonymized_account Za co ty kasę bierzesz załgana kobieto? To twoja robota a nie opozycji.
135,2,Banda trojga Misiło Kropiwnicki i Struzik żywy obraz III RP  czyli koryto złodziejstwo oraz kolaboracja  #Woronicza17
136,2,"@anonymized_account Im starszy tym bardziej inteligentny inaczej. A wydawałoby się, że niżej upaść się nie da."
137,2,"@anonymized_account Zamknij niemiecki ryj,siedź w tej Brukseli i nie wracaj złodzieju!😬😬😬"
138,2,"@anonymized_account Pani jest naprawdę inteligentna inaczej. I pomyśleć, że z moich podatków dostaje pani kasę...."
139,2,"@anonymized_account @anonymized_account Caly czas sra tt, chyba ma sraczkę"
140,1,"@anonymized_account @anonymized_account Tacy waleczni, patriotyczne dusze, atrament jak krew przelana, a to wszystko komuchy"
141,1,@anonymized_account Wygląda jakby karmiła dziecko niepełnosprawne
142,1,Elo @anonymized_account ty zjebie w dupę że wsadź te ff
143,1,@anonymized_account Właziłeś panu Kaczyńskiemu w dupę jak byłeś w koalicji !! Falszywcu.
144,2,Zbojkotować Mundial w tym dzikim kraju. To tak jak byśmy jechali grać w piłkę w tz. państwie islamskim.
145,1,"@anonymized_account @anonymized_account Dzikusie pamiętaj godność, patriotyzm, historia, cnotliwość degeneracie jeden"
146,1,@anonymized_account @anonymized_account Zmień berecik bo ten już zryty
147,2,"Wstyd, taka godność jak w wydaniu @anonymized_account nawet mi urąga. Czuje ze zgnoil prezydenta debil prezydent. Już nic gorszego"
148,1,asocjacja intymna z księdzem Rydzykiem
149,2,@anonymized_account @anonymized_account @anonymized_account I następny łże jak bura suka
150,2,"Podsumowując:\nObciach mierzymy w gmyzach, a \na poziom utraty kontroli, w kukizach."
151,2,"@anonymized_account bezideowa partia władzy, szmalu, nepotyzmu"
152,2,"@anonymized_account PiS to komuniści wspierający nazistów, ONR to naziści wspierający komunistów."
153,2,@anonymized_account @anonymized_account Komu? Z fanami naziolami i krzywoprzysięzcą nie świętuję.
154,2,@anonymized_account Z pani taki polityk i prawnik jak z pani męża księgowy.
155,2,"@anonymized_account Czoło z fastyką, nie musisz rysować"
156,2,@anonymized_account @anonymized_account I kupowaniem głosów za państwowe pieniądze
157,1,@anonymized_account @anonymized_account Widze że boli dupa.To ciekawe co na rugby stałoby się z gdańskimi panienkami ?
158,1,@anonymized_account @anonymized_account tobie już od tej wazeliny mózg fałdy traci. Zaczynasz osiagać IQ na poziomie temperatury własnego ciała.
159,2,@anonymized_account @anonymized_account @anonymized_account Idz mu zrób loda adoratorze
160,1,"@anonymized_account Kurwa ale to zjeb, publicznie się chwali że chodził do burdelu za swoje pieniądze, i miesza w to zonę"
161,2,"@anonymized_account komunistycznym żydom pomagać, pisdzielstwu na łeb coś padło"
162,2,"@anonymized_account @anonymized_account Zapytaj się klechów, oni mają na sumieniu kilkadziesiąt milionów."
163,2,"@anonymized_account Ty żółty cwieku, yntelygent. Guardian napisał coś o przygłupie z Uralu?"
164,2,@anonymized_account @anonymized_account @anonymized_account Tego debila obserwuje 150 tyś @anonymized_account
165,2,"@anonymized_account @anonymized_account Kornel to sobie może synka w dupę klepnać, jego opinie jest dokładnie tyle warta, spać panie Kornel"
166,2,"@anonymized_account @anonymized_account A ja usunąłem ciążę, ty głupku"
167,2,@anonymized_account Już nie mogę doczekać się wyborów. Takich półgłówków jak w nowośmiesznej to świat jeszcze nie oglądał.
168,1,"@anonymized_account @anonymized_account @anonymized_account I się schowam, pisz debilu"
169,2,"@anonymized_account @anonymized_account Olałeś ludzi po raz kolejny. Krzywoprzysięzca, oszust i kłamca - z takimi ludźmi się nie spotykam."
170,1,@anonymized_account @anonymized_account Sam jesteś szmaciarz pisowski katoliku.
171,2,@anonymized_account @anonymized_account Super sposób na przypomnienie o sobie - zrobić z siebie debila. W tym @anonymized_account zawsze był trudny do pokonania.
172,1,"@anonymized_account W chorej głowie, chore tt, idź do burdelu maly faszysto"
173,2,@anonymized_account @anonymized_account @anonymized_account Niestety większość z nich ma tylko jeden zwój więcej niż kura.
174,2,@anonymized_account Kurwa  cały tt śmierdzi przez ciebie
175,2,@anonymized_account @anonymized_account @anonymized_account Powtarzasz się. To świadczy o niskim poziomie inteligencji. Takie IQ na poziomie temperatury ciała.
176,1,@anonymized_account Wściekła cwelica kaczorzyca karakanica jadowita
177,1,@anonymized_account To człowiek o mentalnosci alfonsa jakby powiedział W.Gomółka. I tu trafił by w punkt.
178,1,@anonymized_account @anonymized_account @anonymized_account A 8 lat temu to @anonymized_account na kupkę papu nie mówił?
179,2,@anonymized_account @anonymized_account @anonymized_account @anonymized_account Cześć Mazurek. Znowu robisz za dyżurną idiotkę prezesa?
180,2,"@anonymized_account Jakieś zjebanie, nienawistni chuje bronią dostępu do przybytku miłości"
181,2,@anonymized_account No geniusz z IQ na poziomie temperatury ciała
182,2,Jak słucham posła Swiecickiego to to znów zapytam naprawdę taki tępy  czy tylko udaje idiotę
183,2,@anonymized_account Odpadleś bo masz mentalność służebną
184,2,"Hej TVN, będzie drugi sezon\n\""Urodzin Hitlera\""?\nZa 30 tys. można by dołożyć jakiego księdza pedofila.\n#pytamboniewiem"
185,2,@anonymized_account A Górski opowiedział może o wrażeniach jak to jest być kobietą na boisku ?
186,1,@anonymized_account @anonymized_account Bo jesteś tak jebnięty jak @anonymized_account
187,2,@anonymized_account @anonymized_account Dopóki tego nie udowodnisz pajacu jesteś oszczerca i manipulantem.
188,2,@anonymized_account @anonymized_account @anonymized_account @anonymized_account @anonymized_account @anonymized_account @anonymized_account @anonymized_account Jaki ty kurwa debil jesteś\n...
189,1,"Sabrino, tępa kurwo, miałaś iść do lasu a nie sadu XDDD"
190,2,@anonymized_account @anonymized_account @anonymized_account Kim jest Pandera jak nie wydmuszka wydmuszki @anonymized_account ktory jest wydymką I sekretarza
191,2,"@anonymized_account @anonymized_account @anonymized_account Koń, który mówi. I jeszcze łże jak bura suka."
192,2,@anonymized_account Weź bocie spierdalaj z mojego tajmlajnu
193,2,@anonymized_account Polska to nie ty patafianie. Btw rosyjski rząd ma takie samo poparcie jak węgierski.
194,2,@anonymized_account MW obrońcami pedofili w sutannach. Moje gratulacje.
195,2,@anonymized_account @anonymized_account @anonymized_account Kobieto twoja aktywność polega wyłącznie na braniu kasy podatników. W tym jesteś nie do pokonania.
196,2,Nie ma w PiS wojowników? Tylko same cipy? No już patrzeć na to nie można#Kropka nad i MO
197,2,@anonymized_account Ale kamieniczkę chuj przytulił po miastowemu?
198,2,@anonymized_account O czy bredzisz idiotko! Przypisujesz innym własne zaprzaństwo? Wizytówka małości...
199,2,"@anonymized_account @anonymized_account podejrzewam  LSD i  gdzieś schowaleś, a te zjeby policaje nie zauważyły że masz fazkę"
200,2,"Nie mająca końca pazerność obecnej władzy, nagrody, premie, karty, to że wszyscy są komunistami oprócz Piotrowicza"
201,2,"@anonymized_account @anonymized_account Życie PiS  zdechnie ostatecznie, śmiercią naturalną"
202,2,"@anonymized_account @anonymized_account @anonymized_account Czubek to jesteś ty, razem ze Zbysiem Zero i Jarkiem od kotów."
203,2,"@anonymized_account Nie cpaj marszu, mózg się gotuje od wrażeń"
204,2,"@anonymized_account Musi być pierwszy w okopie, nie straszne mu bombardowania, zuch"
205,2,@anonymized_account @anonymized_account I bardzo dobrze. W niedzielę tylko kruchta a nie zakupy. A pracownicy? Wypad na bruk i modlić się.
206,2,@anonymized_account Kamila zrujnowaliscie razem z mafią PO dobre imię Polski. Koryto nie wróci☝☝☝☝
207,2,@anonymized_account Jebie nacjonalizmem na cały tt
208,1,"@anonymized_account @anonymized_account A my mówimy @anonymized_account i tej jakieś tam tak po prostu,po staropolsku: wypierdalać z naszego kraju!"
209,2,@anonymized_account To chyba bardziej @anonymized_account srales nie pisz
210,2,@anonymized_account @anonymized_account jak tam dupeczki? Będą wieczorem tak jak wczoraj?
211,2,@anonymized_account w pampersach to ty teraz chodzisz i każdy to widzi że masz pełno w gaciach
212,1,@anonymized_account Kiedy swastyka w profilowym mały zboczeńcu
213,1,@anonymized_account @anonymized_account Ale ty jesteś zakłamany skurwysyn
214,2,"@anonymized_account Pierdzenie z rana Pani Kamilo, myślałem ze kobiety nie puszczają bąków, poparcia wam to nie przyniesie na waszym Titanicu."
215,1,"@anonymized_account Ty kutasie, a ty masz rozum? O urodę nie zapytam żeby cię nie niszczyć. I ty się nazywasz dziennikarzem?"
216,1,"@anonymized_account @anonymized_account @anonymized_account Zamknij japę, bo tyle zlego co kaczystan zrobił, nasze prawnuki bede naprawiać"
217,2,@anonymized_account @anonymized_account Budowa patriotyzmu poprzez fałszowanie historii. Ty zakłamany skurwysynie.
218,2,"Ahaha, pojebanie mózgowe tego jebniętego narodu \""godność Polaków\"" i 500+, zrobiło z nas szmaty"
219,2,"@anonymized_account #PiSkomuna - kurwa, zdzira!\nChciwie w kieszeń Ci spozira\nI wyciąga z niej dukaty. \nChce tu Moskwę mieć. Na raty"
220,2,"Jak się nazywa poseł, który bałamuci kobiety na miesiecznicach?\nChwaliPięta."
221,1,"@anonymized_account @anonymized_account Ty sieroto po komunie, do niczego nie doszedłeś w swoim życiu i teraz żal dupę ściska."
222,1,"@anonymized_account @anonymized_account Czas pokaże kto jest kim, mącicielu, szkodniku, haha do gazu haha"
223,1,"@anonymized_account Wszędzie widzi komunistów, chyba tatuś zrobił mu krzywdę"
224,1,Weź mnie nie wkurwiają gnoju
225,2,"Heeeheee, prawda to, 100 %, ruskie dziwki @anonymized_account @anonymized_account pewne na 100%"
226,2,"@anonymized_account Przecież te zjeby chyba wiedza że tvn 24 nadaje tylko w platnej. Tacy wrogowie, szczyj na nich"
227,2,"Co teraz zrobi szalona ekipa endeków @anonymized_account @anonymized_account i reszta @anonymized_account to scierwa, zdrajcy, szubienica, bereza?"
228,2,@anonymized_account Już ci się troi w oczach. Coś ty ćpał?
229,2,"@anonymized_account Do roboty, a nie łazić po ulicy z nietrzeźwymi KODowcami. Piwko im smakuje, palce lizać."
230,2,@anonymized_account @anonymized_account Twarz? Z Tobą zyskuje mordę i to taką zapyziałą.
231,2,@anonymized_account @anonymized_account Bo tu tępy pajac jesteś to nie umiesz.
232,2,"@anonymized_account A wiesz co to znaczy awaria debilu? Aha, nie wiesz boś ty z PiSu."
233,1,Biedny Mateo @anonymized_account wydupczony przez starego dziadzia  @anonymized_account
234,2,"Podobno @anonymized_account jest tak biedna, że @anonymized_account żyruje kredyt na makaron"
235,1,"@anonymized_account Facet, to ty i twoi koledzy w kieckach jesteście jedną wielką dewiacją."
236,2,@anonymized_account @anonymized_account @anonymized_account To nie ludzie tylko debile. Super pomysł.
237,2,@anonymized_account Tobie za te chujowe wpisy
238,2,@anonymized_account Prawdziwi Polacy powinni się spakować i wrócić. Nie może im nadzwyczajna kasta w Irlandii rządzić jak żyć mają.
239,2,@anonymized_account @anonymized_account Twitter jest bez ciebie jak świadek Jehowy szarpiący klamkę
240,2,"@anonymized_account Nic o Żydach w kontekście jajka, pozdrawiam yntylygenta rydzykowo-pisbolszewickiego"
241,2,"Żolnierz żolnierza w dupę nawet tego wyklętego, ja jebię, chory kraj"
242,1,@anonymized_account Ty zdrajco von z Polski natychmiast wywalić do Berlina i Putina zakalo Polski
243,2,"@anonymized_account @anonymized_account To nie sankcje, po prostu Dudę w dupie mają."
244,1,@anonymized_account Beata nie pamięci do dat. Pewnie nie wie kiedy jej się dzieci urodziły. Może nawet nie wie ile ma lat
245,2,@anonymized_account @anonymized_account @anonymized_account @anonymized_account Powinni jej w pysk napluć za dewastację systemu oświaty.
246,1,@anonymized_account Kurwa wali konia do ty pieniedzy @anonymized_account ?
247,2,Takiej parti  jak @anonymized_account ktore choduje takie patologie @anonymized_account to smierć rozumu
248,1,"Wiem że jesteś płynny płciowo @anonymized_account mi powiedzial, potwierdził @anonymized_account"
249,2,"@anonymized_account @anonymized_account Proszę o cytat z wypowiedzi przedstawiciela WH, który to potwierdza. Łżesz jak bura suka manipulancie."
250,1,@anonymized_account @anonymized_account  W nawołuje do rozruchów😁😁😁
251,2,@anonymized_account @anonymized_account @anonymized_account Ty sieroto po komunie. Pisać możesz dowoli
252,2,"@anonymized_account @anonymized_account Szacunku dla tych bogoojczyźnianych zjebów,vperfekcyjnych w dojeniu państwa"
253,2,"@anonymized_account Jak każda sprzedajna kurew. Zaczyna jak ją alfons wyszuka i pracuje dotąd, aż będą na nią klienci."
254,2,@anonymized_account @anonymized_account @anonymized_account wypad gnido z mojego miasta.
255,1,"@anonymized_account @anonymized_account @anonymized_account A ty zapytaj kochanke Kurskiego, zonę Ziobry i sekretarkę i kierowcę Jarkacza"
256,2,@anonymized_account @anonymized_account Lecz się kobieto na nogi bo na głowę już zbyt późno
257,1,"Zamkinij swoje ludzkie ego @anonymized_account bo szkodzisz pisdzielstwu, za mało dzielisz, morda w kubeł i pis rośnie"
258,1,"@anonymized_account Na miejscu protestujących, przed tymi kamerami napluł bym mu w pysk i wywalił stamtąd na butach"
259,2,@anonymized_account Wolę takiego agenta jak @anonymized_account  niż takiego chuja jak @anonymized_account
260,1,@anonymized_account Może opublikuje Pani listę. Będzie wiadomo komu dostarczyć dodatkowy zapas wazeliny.
261,1,"@anonymized_account @anonymized_account A ty jesteś ruskim trollem,vice versa debilu"
262,2,"@anonymized_account @anonymized_account Kobieto, wypad do siebie na wieś. Tam możesz drzeć mordę do woli. #zlodziejezpisu"
263,2,"@anonymized_account @anonymized_account @anonymized_account Tusk ma ojca ss mana, nie bój"
264,2,"@anonymized_account @anonymized_account @anonymized_account Jasne, i PiSowski aktyw może sobie włazić nawzajem w dupę bez przeszkód."
265,2,"@anonymized_account Wodospad chujni, prostacki populizm, reżimowe media, poczucie oblężenia, inwazja psychopolactwa"
